country,countryCode,population,cpr,reps
 Trinidad and Tobago,TTO,1366725.0,5467.0,250.0
 Antigua and Barbuda,ATG,99337.0,5843.0,17.0
 Grenada,GRD,113000.0,8692.0,13.0
 Bahamas,BHS,393450.0,24591.0,16.0
 Bahrain,BHR,1501635.0,37541.0,40.0
 Lesotho,LSO,2007201.0,60824.0,33.0
 Ireland,IRL,4977400.0,82957.0,60.0
 United Kingdom,GBR,66796807.0,83916.0,796.0
 Czech Republic,CZE,10701777.0,132121.0,81.0
 Austria,AUT,8933346.0,146448.0,61.0
 Spain,ESP,47351567.0,178685.0,265.0
 Italy,ITA,59257566.0,184603.0,321.0
 Italy,ITA,59257566.0,184603.0,321.0
 Switzerland,CHE,8655100.0,188154.0,46.0
 Belgium,BEL,11556297.0,192605.0,60.0
 France,FRA,67399000.0,193675.0,348.0
 France,FRA,67399000.0,193675.0,348.0
 Netherlands,NLD,17580531.0,234407.0,75.0
 Algeria,DZA,44700000.0,310417.0,144.0
 Egypt,EGY,101714695.0,339049.0,300.0
 Australia,AUS,25776464.0,339164.0,76.0
 Canada,CAN,38411882.0,365827.0,105.0
 Tunisia,TUN,11708370.0,377689.0,31.0
 Poland,POL,38244000.0,382440.0,100.0
 Chile,CHL,19678363.0,457636.0,43.0
 Japan,JPN,125480000.0,512163.0,245.0
 Japan,JPN,125480000.0,512163.0,245.0
 Argentina,ARG,45808747.0,636233.0,72.0
 Tanzania,TZA,59441988.0,660467.0,90.0
 Kenya,KEN,47564296.0,709915.0,67.0
 DR Congo,COD,92378000.0,847505.0,109.0
 Russia,RUS,146238185.0,860225.0,170.0
 Mexico,MEX,126014024.0,984485.0,128.0
 Mexico,MEX,126014024.0,984485.0,128.0
 Germany,DEU,83190556.0,1205660.0,69.0
 Germany,DEU,83190556.0,1205660.0,69.0
 Nigeria,NGA,211401000.0,1939459.0,109.0
 Indonesia,IDN,271350000.0,1995221.0,136.0
 Pakistan,PAK,225200000.0,2252000.0,100.0
 Brazil,BRA,212969523.0,2629253.0,81.0
 United States,USA,331458869.0,3314589.0,100.0
 United States,USA,331458869.0,3314589.0,100.0
 Philippines,PHL,110058083.0,4585753.0,24.0
