country,countryCode,population,cpr,reps
 Iceland,ISL,368590.0,5851.0,63.0
 Luxembourg,LUX,634730.0,10579.0,60.0
 Estonia,EST,1329460.0,13163.0,101.0
 Latvia,LVA,1891300.0,18913.0,100.0
 Lithuania,LTU,2790044.0,19788.0,141.0
 Slovenia,SVN,2111461.0,23461.0,90.0
 Norway,NOR,5391369.0,27507.0,196.0
 Finland,FIN,5508198.0,27541.0,200.0
 Sweden,SWE,10380491.0,29744.0,349.0
 Ireland,IRL,4977400.0,31109.0,160.0
 Denmark,DNK,5840045.0,32626.0,179.0
 Greece,GRC,10718565.0,35729.0,300.0
 Slovakia,SVK,5459781.0,36399.0,150.0
 New Zealand,NZL,5123792.0,42698.0,120.0
 Switzerland,CHE,8655100.0,43276.0,200.0
 Portugal,PRT,10295909.0,44765.0,230.0
 Austria,AUT,8933346.0,48816.0,183.0
 Hungary,HUN,9730000.0,48894.0,199.0
 Czech Republic,CZE,10701777.0,53509.0,200.0
 Belgium,BEL,11556297.0,77042.0,150.0
 Israel,ISR,9334340.0,77786.0,120.0
 Poland,POL,38244000.0,83139.0,460.0
 Italy,ITA,59257566.0,94060.0,630.0
 United Kingdom,GBR,66796807.0,102764.0,650.0
 Canada,CAN,38411882.0,113645.0,338.0
 France,FRA,67399000.0,116809.0,577.0
 Netherlands,NLD,17580531.0,117204.0,150.0
 Germany,DEU,83190556.0,117335.0,709.0
 Chile,CHL,19678363.0,126957.0,155.0
 Spain,ESP,47351567.0,135290.0,350.0
 Turkey,TUR,83614362.0,139357.0,600.0
 Australia,AUS,25776464.0,170705.0,151.0
 South Korea,KOR,51705905.0,172353.0,300.0
 Mexico,MEX,126014024.0,252028.0,500.0
 Japan,JPN,125480000.0,269849.0,465.0
 United States,USA,331458869.0,761974.0,435.0
