country,countryCode,population,cpr
 Ireland,IRL,4977400.0,82957.0
 United Kingdom,GBR,66796807.0,83916.0
 Czech Republic,CZE,10701777.0,132121.0
 Austria,AUT,8933346.0,146448.0
 Spain,ESP,47351567.0,178685.0
 Italy,ITA,59257566.0,184603.0
 Switzerland,CHE,8655100.0,188154.0
 Belgium,BEL,11556297.0,192605.0
 France,FRA,67399000.0,193675.0
 Netherlands,NLD,17580531.0,234407.0
 Australia,AUS,25776464.0,339164.0
 Canada,CAN,38411882.0,365827.0
 Poland,POL,38244000.0,382440.0
 Chile,CHL,19678363.0,457636.0
 Japan,JPN,125480000.0,512163.0
 Mexico,MEX,126014024.0,984485.0
 Germany,DEU,83190556.0,1205660.0
 United States,USA,331458869.0,3314589.0
