State,Abbr,Representatives,2022_Representatives
Alabama,AL,7,7
Alaska,AK,1,1
Arizona,AZ,9,9
Arkansas,AR,4,4
California,CA,53,52
Colorado,CO,7,8
Connecticut,CT,5,5
Delaware,DE,1,1
Florida,FL,27,28
Georgia,GA,14,14
Hawaii,HI,2,2
Idaho,ID,2,2
Illinois,IL,18,17
Indiana,IN,9,9
Iowa,IA,4,4
Kansas,KS,4,4
Kentucky,KY,6,6
Louisiana,LA,6,6
Maine,ME,2,2
Maryland,MD,8,8
Massachusetts,MA,9,9
Michigan,MI,14,13
Minnesota,MN,8,8
Mississippi,MS,4,4
Missouri,MO,8,8
Montana,MT,1,2
Nebraska,NE,3,3
Nevada,NV,4,4
New Hampshire,NH,2,2
New Jersey,NJ,12,12
New Mexico,NM,3,3
New York,NY,27,26
North Carolina,NC,13,14
North Dakota,ND,1,1
Ohio,OH,16,15
Oklahoma,OK,5,5
Oregon,OR,5,6
Pennsylvania,PA,18,17
Rhode Island,RI,2,2
South Carolina,SC,7,7
South Dakota,SD,1,1
Tennessee,TN,9,9
Texas,TX,36,38
Utah,UT,4,4
Vermont,VT,1,1
Virginia,VA,11,11
Washington,WA,10,10
West Virginia,WV,3,2
Wisconsin,WI,8,8
Wyoming,WY,1,1
District of Columbia,DC,0,0
Puerto Rico,PR,0,0
