Congress,Start_Year,End_Year,No_Of_House_Seats
1,1789,1791,65
2,1791,1793,69
3,1793,1795,105
4,1795,1797,106
5,1797,1799,106
6,1799,1801,106
7,1801,1803,106
8,1803,1805,142
9,1805,1807,142
10,1807,1809,142
11,1809,1811,142
12,1811,1813,143
13,1813,1815,182
14,1815,1817,183
15,1817,1819,185
16,1819,1821,186
17,1821,1823,187
18,1823,1825,213
19,1825,1827,213
20,1827,1829,213
21,1829,1831,213
22,1831,1833,213
23,1833,1835,240
24,1835,1837,242
25,1837,1839,242
26,1839,1841,242
27,1841,1843,242
28,1843,1845,223
29,1845,1847,228
30,1847,1849,230
31,1849,1851,233
32,1851,1853,233
33,1853,1855,234
34,1855,1857,234
35,1857,1859,237
36,1859,1861,238
37,1861,1863,183
38,1863,1865,184
39,1865,1867,193
40,1867,1869,226
41,1869,1871,243
42,1871,1873,243
43,1873,1875,292
44,1875,1877,293
45,1877,1879,293
46,1879,1881,293
47,1881,1883,293
48,1883,1885,325
49,1885,1887,325
50,1887,1889,325
51,1889,1891,332
52,1891,1893,332
53,1893,1895,356
54,1895,1897,357
55,1897,1899,357
56,1899,1901,357
57,1901,1903,357
58,1903,1905,386
59,1905,1907,386
60,1907,1909,391
61,1909,1911,391
62,1911,1913,394
63,1913,1915,435
64,1915,1917,435
65,1917,1919,435
66,1919,1921,435
67,1921,1923,435
68,1923,1925,435
69,1925,1927,435
70,1927,1929,435
71,1929,1931,435
72,1931,1933,435
73,1933,1935,435
74,1935,1937,435
75,1937,1939,435
76,1939,1941,435
77,1941,1943,435
78,1943,1945,435
79,1945,1947,435
80,1947,1949,435
81,1949,1951,435
82,1951,1953,435
83,1953,1955,435
84,1955,1957,435
85,1957,1959,435
86,1959,1961,436
87,1961,1963,437
88,1963,1965,435
89,1965,1967,435
90,1967,1969,435
91,1969,1971,435
92,1971,1973,435
93,1973,1975,435
94,1975,1977,435
95,1977,1979,435
96,1979,1981,435
97,1981,1983,435
98,1983,1985,435
99,1985,1987,435
100,1987,1989,435
101,1989,1991,435
102,1991,1993,435
103,1993,1995,435
104,1995,1997,435
105,1997,1999,435
106,1999,2001,435
107,2001,2003,435
108,2003,2005,435
109,2005,2007,435
110,2007,2009,435
111,2009,2011,435
112,2011,2013,435
113,2013,2015,435
114,2015,2017,435
115,2017,2019,435
116,2019,2021,435
117,2021,2023,435
