State,Abbr,Year Admitted,1790_TotalPopulation,1800_TotalPopulation,1810_TotalPopulation,1820_TotalPopulation,1830_TotalPopulation,1840_TotalPopulation,1850_TotalPopulation,1860_TotalPopulation,1790_EnslavedPopulation,1800_EnslavedPopulation,1810_EnslavedPopulation,1820_EnslavedPopulation,1830_EnslavedPopulation,1840_EnslavedPopulation,1850_EnslavedPopulation,1860_EnslavedPopulation,1870_TotalPopulation,1880_TotalPopulation,1890_TotalPopulation,1900_TotalPopulation,1910_TotalPopulation,1920_TotalPopulation,1930_TotalPopulation,1940_TotalPopulation,1950_TotalPopulation,1960_TotalPopulation,1970_TotalPopulation,1980_TotalPopulation,1990_TotalPopulation,2000_TotalPopulation,2010_TotalPopulation,2018_TotalPopulation,2020_TotalPopulation,density
Alabama,AL,1819,,"1,250","9,046","127,901","309,527","590,756","771,623","964,201",,494,"2,565","41,879","117,549","253,532","342,844","435,080","996,992","1,262,505","1,513,017","1,828,697","2,138,093","2,348,174","2,646,248","2,832,961","3,061,743","3,266,740","3,444,165","3,893,888","4,040,587","4,447,100","4,779,736","4,934,190.00",5024279,97.427
Alaska,AK,1959,,,,,,,,,,,,,,,,,,,"33,426","32,052","64,356","55,036","59,278","72,524","128,643","226,167","300,382","401,851","550,043","626,932","710,231","724,357.00",733391,1.2694
Arizona,AZ,1912,,,,,,,,,,,,,,,,,"9,658","40,440","88,243","122,931","204,354","334,162","435,573","499,261","749,587","1,302,161","1,770,900","2,718,215","3,665,228","5,130,632","6,392,017","7,520,100.00",7151502,66.2016
Arkansas,AR,1836,,,"1,062","14,273","30,388","97,574","209,897","435,450",,,136,"1,617","4,576","19,935","47,100","111,115","484,471","802,525","1,128,211","1,311,564","1,574,449","1,752,204","1,854,482","1,949,387","1,909,511","1,786,272","1,923,295","2,286,435","2,350,725","2,673,400","2,915,918","3,033,950.00",3011524,58.3059
California,CA,1850,,,,,,,"92,597","379,994",,,,,,,0,0,"560,247","864,694","1,213,398","1,485,053","2,377,549","3,426,861","5,677,251","6,907,387","10,586,223","15,717,204","19,953,134","23,667,902","29,760,021","33,871,648","37,253,956","39,613,500.00",39538223,254.2929
Colorado,CO,1876,,,,,,,,"34,277",,,,,,,,0,"39,864","194,327","413,249","539,700","799,024","939,629","1,035,791","1,123,296","1,325,089","1,753,947","2,207,259","2,889,964","3,294,394","4,301,261","5,029,196","5,893,630.00",5773714,56.8653
Connecticut,CT,1788,"237,946","251,002","262,042","275,202","297,675","309,978","370,792","460,147","2,764",951,310,97,25,17,0,0,"537,454","622,700","746,258","908,420","1,114,756","1,380,631","1,606,903","1,709,242","2,007,280","2,535,234","3,031,709","3,107,576","3,287,116","3,405,565","3,574,097","3,552,820.00",3605944,733.7505
Delaware,DE,1787,"59,096","64,273","72,674","72,749","76,748","78,085","91,532","112,216","8,887","6,153","4,177","4,509","3,292","2,605","2,290","1,798","125,015","146,608","168,493","184,735","202,322","223,003","238,380","266,505","318,085","446,292","548,104","594,338","666,168","783,600","897,934","990,334.00",989948,508.1242
District of Columbia,DC,1790,,"8,144","15,471","23,336","30,261","33,745","51,687","75,080",,"2,072","3,554","4,520","4,505","3,320","3,687","3,185","131,700","177,624","230,392","278,718","331,069","437,571","486,869","663,091","802,178","763,956","756,510","638,333","606,900","572,059","601,723","714,153.00",689545,11707.4262
Florida,FL,1845,,,,,"34,730","54,477","87,445","140,424",,,,,"15,501","25,717","39,310","61,745","187,748","269,493","391,422","528,542","752,619","968,470","1,468,211","1,897,414","2,771,305","4,951,560","6,789,443","9,746,324","12,937,926","15,982,378","18,801,310","21,944,600.00",21538187,409.2233
Georgia,GA,1788,"82,548","162,686","251,407","340,989","516,823","691,392","906,185","1,057,286","29,264","59,699","105,218","149,656","217,531","280,944","381,682","462,198","1,184,109","1,542,180","1,837,353","2,216,331","2,609,121","2,895,832","2,908,506","3,123,723","3,444,578","3,943,116","4,589,575","5,463,105","6,478,216","8,186,453","9,687,653","10,830,000.00",10711908,188.3053
Hawaii,HI,1959,,,,,,,,,,,,,,,,,,,,"154,001","191,909","255,912","368,336","423,330","499,794","632,772","768,561","964,691","1,108,229","1,211,537","1,360,301","1,406,430.00",1455271,218.9678
Idaho,ID,1890,,,,,,,,,,,,,,,,,"14,999","32,610","88,548","161,772","325,594","431,866","445,032","524,873","588,637","667,191","712,567","943,935","1,006,749","1,293,953","1,567,582","1,860,120.00",1839106,22.5079
Illinois,IL,1818,,"2,458","12,282","55,211","157,445","476,183","851,470","1,711,951",,107,168,917,747,331,0,0,"2,539,891","3,077,871","3,826,351","4,821,550","5,638,591","6,485,280","7,630,654","7,897,241","8,712,176","10,081,158","11,113,976","11,426,518","11,430,602","12,419,293","12,830,632","12,569,300.00",12812508,226.3964
Indiana,IN,1816,,"2,632","24,520","147,178","343,031","685,866","988,416","1,350,428",,28,237,190,3,3,0,0,"1,680,637","1,978,301","2,192,404","2,516,462","2,700,876","2,930,390","3,238,503","3,427,796","3,934,224","4,662,498","5,193,669","5,490,224","5,544,159","6,080,485","6,483,802","6,805,660.00",6785528,189.9643
Iowa,IA,1846,,,,,,"43,112","192,214","674,913",,,,,,16,0,0,"1,194,020","1,624,615","1,912,297","2,231,853","2,224,771","2,404,021","2,470,939","2,538,268","2,621,073","2,757,537","2,824,376","2,913,808","2,776,755","2,926,324","3,046,355","3,167,970.00",3190369,56.7157
Kansas,KS,1861,,,,,,,,"107,206",,,,,,,,2,"364,399","996,096","1,428,108","1,470,495","1,690,949","1,769,257","1,880,999","1,801,028","1,905,299","2,178,611","2,246,578","2,363,679","2,477,574","2,688,418","2,853,118","2,917,220.00",2937880,35.6807
Kentucky,KY,1792,"73,677","220,959","406,511","564,317","687,917","779,828","982,405","1,155,684","12,430","40,343","80,561","126,732","165,213","182,258","210,981","225,483","1,321,011","1,648,690","1,858,635","2,147,174","2,289,905","2,416,630","2,614,589","2,845,627","2,944,806","3,038,156","3,218,706","3,660,777","3,685,296","4,041,769","4,339,367","4,480,710.00",4505836,113.4759
Louisiana,LA,1812,,,"76,556","153,407","215,739","352,411","517,762","708,002",,,"34,660","69,064","109,588","168,452","244,809","331,726","726,915","939,946","1,118,587","1,381,625","1,656,388","1,798,509","2,101,593","2,363,880","2,683,516","3,257,022","3,641,306","4,205,900","4,219,973","4,468,976","4,533,372","4,627,000.00",4657757,107.0966
