State,Abbr,2020_Population
Alabama,AL,4934190
Alaska,AK,724357
Arizona,AZ,7520100
Arkansas,AR,3033950
California,CA,39613500
Colorado,CO,5893630
Connecticut,CT,3552820
Delaware,DE,990334
District of Columbia,DC,714153
Florida,FL,21944600
Georgia,GA,10830000
Hawaii,HI,1406430
Idaho,ID,1860120
Illinois,IL,12569300
Indiana,IN,6805660
Iowa,IA,3167970
Kansas,KS,2917220
Kentucky,KY,4480710
Louisiana,LA,4627000
Maine,ME,1354520
Maryland,MD,6065440
Massachusetts,MA,6912240
Michigan,MI,9992430
Minnesota,MN,5706400
Mississippi,MS,2966410
Missouri,MO,6169040
Montana,MT,1085000
Nebraska,NE,1952000
Nevada,NV,3185790
New Hampshire,NH,1372200
New Jersey,NJ,8874520
New Mexico,NM,2105000
New York,NY,19300000
North Carolina,NC,10701000
North Dakota,ND,770026
Ohio,OH,11714600
Oklahoma,OK,3990440
Oregon,OR,4289440
Pennsylvania,PA,12804100
Puerto Rico,PR,3194370
Rhode Island,RI,1061510
South Carolina,SC,5277830
South Dakota,SD,896581
Tennessee,TN,6944260
Texas,TX,29730300
Utah,UT,3310770
Vermont,VT,623251
Virginia,VA,8603980
Washington,WA,7796940
West Virginia,WV,1767860
Wisconsin,WI,5852490
Wyoming,WY,581075
